date,Home_Price_Index,Interest_Rates,Unemployment_Rate,Working_Population,Employment_Rate,Consumer_Price_Index,Construction_Price_Index,Per_Capita_GDP,Median_Household_Income,Housing_Subsidies,Total_Households,Year,Month
2005-01-01,161.289,2.28,5.3,190033400.0,71.3175,191.6,168.6,53719.0,69310.0,27.651,113343.0,2005,1
2005-02-01,163.346,2.5,5.4,190207300.0,71.2337,192.4,170.4,53768.666666666664,69310.0,27.651,113343.0,2005,2
2005-03-01,165.814,2.63,5.2,190428500.0,71.2827,193.1,170.0,53818.333333333336,69310.0,27.651,113343.0,2005,3
2005-04-01,167.503,2.79,5.2,190494300.0,71.4182,193.7,170.0,53868.0,69310.0,27.651,113343.0,2005,4
2005-05-01,169.352,3.0,5.1,190682900.0,71.5245,193.6,168.1,53963.0,69310.0,27.651,113343.0,2005,5
2005-06-01,171.192,3.04,5.0,190897600.0,71.4855,193.7,167.8,54058.0,69310.0,27.651,113343.0,2005,6
2005-07-01,172.861,3.26,5.0,191053600.0,71.6202,194.9,167.2,54153.0,69310.0,27.651,113343.0,2005,7
2005-08-01,174.443,3.5,4.9,191192100.0,71.8137,196.1,165.9,54207.666666666664,69310.0,27.651,113343.0,2005,8
2005-09-01,176.439,3.62,5.0,191474900.0,71.6922,198.8,168.9,54262.333333333336,69310.0,27.651,113343.0,2005,9
2005-10-01,178.028,3.78,5.0,191700600.0,71.7014,199.1,171.6,54317.0,69310.0,27.651,113343.0,2005,10
2005-11-01,179.682,4.0,5.0,191993600.0,71.5668,198.1,172.7,54520.333333333336,69310.0,27.651,113343.0,2005,11
2005-12-01,180.911,4.16,4.9,192186900.0,71.6343,198.1,173.5,54723.666666666664,69310.0,27.651,113343.0,2005,12
2006-01-01,182.322,4.29,4.7,192325600.0,71.687,199.3,177.2,54927.0,70080.0,28.604,114384.0,2006,1
2006-02-01,183.289,4.49,4.8,192511900.0,71.7691,199.4,177.7,54933.0,70080.0,28.604,114384.0,2006,2
2006-03-01,184.365,4.59,4.7,192617600.0,71.8198,199.7,178.3,54939.0,70080.0,28.604,114384.0,2006,3
